SID,DeviceID,ObservationTimestp,LocalTimestp,AirTemperature,BarometricPressure,RelativeHumidity
2024-09-20T06:08:16Z_18zua9muwbb,18zua9muwbb,9/20/2024 6:08:16 ,20/09/2024 2:08,21.9,1018.7,39.1
2024-09-20T06:23:38Z_18zua9muwbb,18zua9muwbb,9/20/2024 6:23:38 ,20/09/2024 2:23,22.02,1018.54,38.38
2024-09-20T06:39:03Z_18zua9muwbb,18zua9muwbb,9/20/2024 6:39:03 ,20/09/2024 2:39,22.3,1018.38,38.83
2024-09-20T06:54:42Z_18zua9muwbb,18zua9muwbb,9/20/2024 6:54:42 ,20/09/2024 2:54,22.37,1018.21,37.24
2024-09-20T07:10:05Z_18zua9muwbb,18zua9muwbb,9/20/2024 7:10:05 ,20/09/2024 3:10,22.38,1018.13,37.73
2024-09-20T07:25:40Z_18zua9muwbb,18zua9muwbb,9/20/2024 7:25:40 ,20/09/2024 3:25,22.04,1018.11,38.01
2024-09-20T07:41:06Z_18zua9muwbb,18zua9muwbb,9/20/2024 7:41:06 ,20/09/2024 3:41,22.09,1018.11,38.2
2024-09-20T07:56:29Z_18zua9muwbb,18zua9muwbb,9/20/2024 7:56:29 ,20/09/2024 3:56,21.77,1018.13,39.12
2024-09-20T08:11:51Z_18zua9muwbb,18zua9muwbb,9/20/2024 8:11:51 ,20/09/2024 4:11,21.54,1018.12,46.94
2024-09-20T08:27:13Z_18zua9muwbb,18zua9muwbb,9/20/2024 8:27:13 ,20/09/2024 4:27,20.98,1018.15,49.24
2024-09-20T08:42:50Z_18zua9muwbb,18zua9muwbb,9/20/2024 8:42:50 ,20/09/2024 4:42,20.5,1018.19,51.14
2024-09-20T08:58:13Z_18zua9muwbb,18zua9muwbb,9/20/2024 8:58:13 ,20/09/2024 4:58,20.01,1018.3,52.95
2024-09-20T09:13:56Z_18zua9muwbb,18zua9muwbb,9/20/2024 9:13:56 ,20/09/2024 5:13,19.64,1018.43,54.39
2024-09-20T09:29:34Z_18zua9muwbb,18zua9muwbb,9/20/2024 9:29:34 ,20/09/2024 5:29,19.2,1018.71,56.57
2024-09-20T09:45:06Z_18zua9muwbb,18zua9muwbb,9/20/2024 9:45:06 ,20/09/2024 5:45,18.84,1018.95,56.42
2024-09-20T10:00:29Z_18zua9muwbb,18zua9muwbb,9/20/2024 10:00:29 ,20/09/2024 6:00,18.2,1019.08,57.81
2024-09-20T10:15:51Z_18zua9muwbb,18zua9muwbb,9/20/2024 10:15:51 ,20/09/2024 6:15,17.79,1019.21,59.06
2024-09-20T10:31:25Z_18zua9muwbb,18zua9muwbb,9/20/2024 10:31:25 ,20/09/2024 6:31,17.39,1019.41,60.52
2024-09-20T10:46:48Z_18zua9muwbb,18zua9muwbb,9/20/2024 10:46:48 ,20/09/2024 6:46,16.98,1019.67,61.79
2024-09-20T11:02:10Z_18zua9muwbb,18zua9muwbb,9/20/2024 11:02:10 ,20/09/2024 7:02,16.6,1019.94,62.94
2024-09-20T11:17:32Z_18zua9muwbb,18zua9muwbb,9/20/2024 11:17:32 ,20/09/2024 7:17,16.31,1020.15,63.97
2024-09-20T11:32:57Z_18zua9muwbb,18zua9muwbb,9/20/2024 11:32:57 ,20/09/2024 7:32,16.07,1020.3,64.59
2024-09-20T11:48:20Z_18zua9muwbb,18zua9muwbb,9/20/2024 11:48:20 ,20/09/2024 7:48,15.88,1020.61,66.17
